datetime (UTC),"coordinates (lat,lon)",model (name),model elevation (surface),utc_offset (hrs),temperature (degC),wind_speed (m/s),surface_solar_radiation (W/m^2)
2022-05-30 00:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,7.17,3.24,0.00
2022-05-30 01:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,6.75,2.98,0.00
2022-05-30 02:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,6.71,2.78,0.00
2022-05-30 03:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,7.08,2.80,14.28
2022-05-30 04:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,8.36,3.76,81.12
2022-05-30 05:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,9.83,3.73,180.73
2022-05-30 06:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,10.99,3.80,302.36
2022-05-30 07:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,12.17,4.24,353.73
2022-05-30 08:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,12.90,4.19,508.68
2022-05-30 09:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,13.36,3.90,606.25
2022-05-30 10:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,13.47,3.58,614.86
2022-05-30 11:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,13.84,3.74,641.53
2022-05-30 12:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,14.24,3.53,676.56
2022-05-30 13:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,14.48,3.64,611.05
2022-05-30 14:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,14.33,3.87,499.52
2022-05-30 15:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,13.73,3.61,372.12
2022-05-30 16:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,13.17,3.36,275.12
2022-05-30 17:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,12.69,3.03,174.79
2022-05-30 18:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,12.02,2.33,106.13
2022-05-30 19:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,11.29,1.58,48.73
2022-05-30 20:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,10.14,1.22,5.34
2022-05-30 21:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,8.44,1.08,0.00
2022-05-30 22:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,8.12,1.23,0.00
2022-05-30 23:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,8.82,0.33,0.00
2022-05-31 00:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,7.66,0.85,0.00
2022-05-31 01:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,8.19,1.09,0.00
2022-05-31 02:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,8.41,1.30,0.00
2022-05-31 03:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,8.68,1.96,5.27
2022-05-31 04:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,8.87,2.03,23.97
2022-05-31 05:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,9.38,2.15,47.76
2022-05-31 06:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,9.52,2.64,62.33
2022-05-31 07:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,9.69,2.82,154.54
2022-05-31 08:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,10.08,2.88,230.17
2022-05-31 09:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,10.71,2.60,331.44
2022-05-31 10:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,12.73,3.08,445.11
2022-05-31 11:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,12.55,3.21,268.59
2022-05-31 12:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,12.10,2.95,166.35
2022-05-31 13:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,12.41,2.63,160.07
2022-05-31 14:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,11.99,3.05,110.47
2022-05-31 15:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,12.83,3.11,169.87
2022-05-31 16:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,13.56,3.00,295.27
2022-05-31 17:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,13.40,2.69,159.24
2022-05-31 18:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,12.82,2.48,83.69
2022-05-31 19:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,12.14,2.16,38.54
2022-05-31 20:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,11.12,2.23,6.22
2022-05-31 21:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,10.70,2.55,0.00
2022-05-31 22:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,10.69,2.97,0.00
2022-05-31 23:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,10.34,3.51,0.00
2022-06-01 00:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,10.04,3.53,0.00
2022-06-01 01:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,10.02,3.23,0.00
2022-06-01 02:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,9.84,3.26,0.00
2022-06-01 03:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,9.70,3.62,11.04
2022-06-01 04:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,10.22,3.70,54.89
2022-06-01 05:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,11.15,3.72,154.02
2022-06-01 06:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,12.33,3.02,293.19
2022-06-01 07:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,13.63,2.63,214.89
2022-06-01 08:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,15.04,2.63,500.61
2022-06-01 09:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,16.14,2.62,599.05
2022-06-01 10:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,16.12,2.49,694.53
2022-06-01 11:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,16.72,1.90,686.95
2022-06-01 12:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,17.00,1.25,646.47
2022-06-01 13:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,17.48,0.69,594.27
2022-06-01 14:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,16.92,1.61,438.33
2022-06-01 15:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,17.07,2.70,406.03
2022-06-01 16:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,16.48,2.14,338.10
2022-06-01 17:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,15.63,1.83,214.65
2022-06-01 18:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,14.57,1.38,143.48
2022-06-01 19:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,13.04,1.26,52.10
2022-06-01 20:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,12.26,0.48,8.03
2022-06-01 21:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,11.46,0.93,0.00
2022-06-01 22:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,9.19,0.93,0.00
2022-06-01 23:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,8.45,1.38,0.00
2022-06-02 00:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,8.17,2.00,0.00
2022-06-02 01:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,8.04,2.65,0.00
2022-06-02 02:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,8.22,2.72,0.00
2022-06-02 03:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,8.78,2.71,13.90
2022-06-02 04:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,9.51,2.84,57.54
2022-06-02 05:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,10.36,3.03,113.24
2022-06-02 06:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,10.99,2.78,135.70
2022-06-02 07:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,11.73,2.84,225.44
2022-06-02 08:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,12.50,3.05,313.78
2022-06-02 09:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,13.15,3.32,368.12
2022-06-02 10:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,14.42,3.44,521.72
2022-06-02 11:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,14.65,3.80,492.88
2022-06-02 12:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,15.10,4.08,447.16
2022-06-02 13:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,15.44,4.25,383.83
2022-06-02 14:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,15.67,4.10,327.16
2022-06-02 15:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,16.05,3.83,307.56
2022-06-02 16:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,15.78,3.38,225.95
2022-06-02 17:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,15.86,2.98,200.57
2022-06-02 18:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,15.04,2.26,127.90
2022-06-02 19:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,14.27,2.14,67.94
2022-06-02 20:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,13.09,2.41,10.48
2022-06-02 21:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,12.33,2.96,0.00
2022-06-02 22:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,11.17,3.73,0.00
2022-06-02 23:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,10.87,3.80,0.00
2022-06-03 00:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,10.85,4.02,0.00
2022-06-03 01:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,10.73,3.86,0.00
2022-06-03 02:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,10.79,3.52,0.00
2022-06-03 03:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,11.33,3.47,9.97
2022-06-03 04:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,11.91,2.96,43.54
2022-06-03 05:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,12.37,4.34,81.05
2022-06-03 06:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,12.50,4.85,116.63
2022-06-03 07:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,12.64,4.03,237.81
2022-06-03 08:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,13.04,3.89,193.59
2022-06-03 09:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,13.65,4.18,295.31
2022-06-03 10:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,14.47,5.06,394.74
2022-06-03 11:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,15.69,4.57,584.35
2022-06-03 12:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,16.62,4.38,687.14
2022-06-03 13:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,16.84,4.41,664.14
2022-06-03 14:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,16.46,4.64,541.24
2022-06-03 15:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,16.17,5.29,479.45
2022-06-03 16:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,16.01,5.52,345.66
2022-06-03 17:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,15.58,4.53,179.21
2022-06-03 18:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,15.13,4.37,125.03
2022-06-03 19:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,14.00,3.91,59.42
2022-06-03 20:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,13.01,3.72,9.17
2022-06-03 21:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,12.21,4.02,0.00
2022-06-03 22:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,11.38,3.72,0.00
2022-06-03 23:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,10.62,3.77,0.00
2022-06-04 00:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,10.04,3.73,0.00
2022-06-04 01:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,9.44,3.52,0.00
2022-06-04 02:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,9.03,3.32,0.00
2022-06-04 03:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,9.27,3.15,18.04
2022-06-04 04:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,10.55,3.41,92.56
2022-06-04 05:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,11.96,3.36,202.49
2022-06-04 06:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,13.68,2.99,318.65
2022-06-04 07:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,15.02,2.77,365.86
2022-06-04 08:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,15.87,2.94,501.88
2022-06-04 09:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,16.76,2.98,578.24
2022-06-04 10:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,18.58,2.18,663.34
2022-06-04 11:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,19.32,2.69,674.93
2022-06-04 12:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,20.02,3.13,719.72
2022-06-04 13:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,20.56,3.55,603.27
2022-06-04 14:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,20.77,3.71,523.79
2022-06-04 15:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,20.88,3.73,520.46
2022-06-04 16:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,20.35,3.72,387.16
2022-06-04 17:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,20.11,3.22,270.92
2022-06-04 18:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,18.99,2.39,160.24
2022-06-04 19:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,16.63,1.95,64.64
2022-06-04 20:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,14.08,1.89,11.58
2022-06-04 21:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,12.68,2.27,0.00
2022-06-04 22:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,11.63,2.88,0.00
2022-06-04 23:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,11.04,2.87,0.00
2022-06-05 00:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,10.49,2.83,0.00
2022-06-05 01:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,9.95,2.88,0.00
2022-06-05 02:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,9.40,2.89,0.00
2022-06-05 03:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,9.67,3.01,18.88
2022-06-05 04:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,11.62,3.01,89.61
2022-06-05 05:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,13.96,2.75,190.33
2022-06-05 06:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,16.04,2.95,334.99
2022-06-05 07:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,17.56,3.16,473.42
2022-06-05 08:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,19.13,3.47,597.70
2022-06-05 09:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,20.27,3.65,700.44
2022-06-05 10:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,21.37,3.02,772.18
2022-06-05 11:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,22.32,3.18,808.61
2022-06-05 12:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,22.97,3.31,809.54
2022-06-05 13:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,23.28,2.90,753.10
2022-06-05 14:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,23.46,2.49,672.17
2022-06-05 15:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,23.71,2.48,581.49
2022-06-05 16:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,23.60,2.16,447.02
2022-06-05 17:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,23.13,2.03,314.67
2022-06-05 18:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,21.72,1.84,180.73
2022-06-05 19:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,19.14,2.01,65.76
2022-06-05 20:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,16.69,1.98,12.56
2022-06-05 21:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,14.69,2.92,0.00
2022-06-05 22:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,12.83,4.06,0.00
2022-06-05 23:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,11.74,3.64,0.00
2022-06-06 00:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,10.90,3.30,0.00
2022-06-06 01:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,10.40,2.98,0.00
2022-06-06 02:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,9.97,2.93,0.00
2022-06-06 03:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,10.19,2.73,14.26
2022-06-06 04:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,11.20,2.58,52.42
2022-06-06 05:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,12.34,2.84,140.87
2022-06-06 06:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,13.91,3.01,224.24
2022-06-06 07:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,15.40,3.14,278.30
2022-06-06 08:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,17.00,3.23,414.30
2022-06-06 09:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,18.84,3.36,610.68
2022-06-06 10:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,20.75,3.72,684.32
2022-06-06 11:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,21.20,4.18,683.13
2022-06-06 12:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,21.11,4.39,662.02
2022-06-06 13:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,20.80,4.59,540.70
2022-06-06 14:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,19.96,4.60,443.07
2022-06-06 15:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,18.93,4.51,284.51
2022-06-06 16:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,17.93,4.25,228.70
2022-06-06 17:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,17.25,3.94,171.66
2022-06-06 18:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,16.37,3.55,136.68
2022-06-06 19:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,15.36,3.58,58.21
2022-06-06 20:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,14.12,3.20,13.19
2022-06-06 21:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,12.80,2.92,0.00
2022-06-06 22:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,12.03,2.78,0.00
2022-06-06 23:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,11.33,2.75,0.00
2022-06-07 00:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,11.22,2.60,0.00
2022-06-07 01:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,11.05,2.51,0.00
2022-06-07 02:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,11.33,2.64,0.00
2022-06-07 03:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,11.81,2.60,4.28
2022-06-07 04:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,12.14,2.19,35.19
2022-06-07 05:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,12.35,2.10,49.71
2022-06-07 06:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,12.84,1.91,72.57
2022-06-07 07:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,13.72,2.02,244.54
2022-06-07 08:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,14.71,2.42,385.86
2022-06-07 09:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,15.69,2.88,399.29
2022-06-07 10:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,17.07,2.06,309.10
2022-06-07 11:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,17.11,2.89,282.46
2022-06-07 12:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,16.58,3.27,183.57
2022-06-07 13:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,16.65,3.29,281.87
2022-06-07 14:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,16.26,2.87,229.49
2022-06-07 15:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,17.10,2.90,405.38
2022-06-07 16:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,16.27,2.89,295.27
2022-06-07 17:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,15.42,3.00,193.68
2022-06-07 18:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,14.86,3.09,119.00
2022-06-07 19:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,14.31,2.58,31.92
2022-06-07 20:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,13.85,2.38,8.86
2022-06-07 21:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,13.34,2.22,0.00
2022-06-07 22:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,13.08,3.05,0.00
2022-06-07 23:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,12.74,2.81,0.00
2022-06-08 00:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,12.61,2.81,0.00
2022-06-08 01:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,12.27,2.85,0.00
2022-06-08 02:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,12.05,2.63,0.00
2022-06-08 03:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,11.92,2.65,18.91
2022-06-08 04:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,12.41,2.62,80.31
2022-06-08 05:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,13.43,2.99,187.88
2022-06-08 06:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,13.79,3.26,273.06
2022-06-08 07:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,14.54,3.83,434.18
2022-06-08 08:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,15.24,4.41,438.66
2022-06-08 09:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,15.85,4.69,519.76
2022-06-08 10:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,15.91,5.13,388.50
2022-06-08 11:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,16.07,4.17,337.73
2022-06-08 12:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,16.54,4.82,440.97
2022-06-08 13:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,16.86,5.09,515.14
2022-06-08 14:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,16.98,4.45,450.77
2022-06-08 15:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,16.90,4.45,384.66
2022-06-08 16:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,16.75,4.27,270.73
2022-06-08 17:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,16.39,4.19,184.64
2022-06-08 18:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,15.69,3.48,115.39
2022-06-08 19:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,14.69,3.18,49.58
2022-06-08 20:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,13.45,2.95,11.54
2022-06-08 21:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,12.45,2.65,0.00
2022-06-08 22:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,11.36,2.93,0.00
2022-06-08 23:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,10.83,3.08,0.00
2022-06-09 00:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,10.13,2.89,0.00
2022-06-09 01:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,9.39,2.74,0.00
2022-06-09 02:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,9.03,2.73,0.00
2022-06-09 03:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,9.58,2.80,20.53
2022-06-09 04:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,11.01,2.40,90.76
2022-06-09 05:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,12.67,2.34,186.81
2022-06-09 06:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,14.30,2.40,306.29
2022-06-09 07:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,15.74,2.15,295.93
2022-06-09 08:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,16.78,2.11,397.47
2022-06-09 09:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,17.44,1.94,403.17
2022-06-09 10:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,17.91,2.30,379.48
2022-06-09 11:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,18.83,2.21,360.44
2022-06-09 12:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,19.83,2.13,465.42
2022-06-09 13:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,20.18,2.12,367.25
2022-06-09 14:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,20.81,1.69,416.28
2022-06-09 15:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,21.32,1.59,425.21
2022-06-09 16:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,21.18,1.48,321.73
2022-06-09 17:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,20.44,1.14,227.63
2022-06-09 18:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,19.51,0.60,140.05
2022-06-09 19:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,17.95,1.18,79.00
2022-06-09 20:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,15.79,1.57,13.11
2022-06-09 21:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,14.73,1.96,0.00
2022-06-09 22:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,14.21,1.88,0.00
2022-06-09 23:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,13.36,2.12,0.00
2022-06-10 00:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,12.87,1.74,0.00
2022-06-10 01:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,12.50,1.63,0.00
2022-06-10 02:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,12.62,1.72,0.00
2022-06-10 03:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,13.21,1.38,15.79
2022-06-10 04:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,14.01,0.93,66.48
2022-06-10 05:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,15.22,1.75,130.41
2022-06-10 06:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,16.76,2.29,247.90
2022-06-10 07:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,17.72,2.72,361.70
2022-06-10 08:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,18.70,3.10,418.63
2022-06-10 09:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,19.42,3.22,466.79
2022-06-10 10:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,19.73,3.06,626.55
2022-06-10 11:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,20.24,3.24,503.80
2022-06-10 12:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,20.18,3.85,606.31
2022-06-10 13:00:00,"(58.409814, 15.624525)",era5,94.54,1.00,19.02,4.43,335.88
